node,in_degree
ea9e624f3d62e5b9c3d685b6183d96ae9d263675e774403aeec66cd52b0802eb,0
809e1a85a322210d6e1fdf581c57d121e7afc3818ca1765d4b28654cb5700bd4,1
d9a5b38001d0033768e3e4a7d9aa6259dc5c7aa5f4f6d93f0a657af46838751b,1
31b65bad5557b6da3dd9b783489fab77d25c8dab4edd66082b8eb1f71b171a9a,0
22e78e3c3ed3d064d8092bf89a2cc93c629dbfa2c690ddf9bbf5b88d270cdaf2,1
ae6fde7b4a8a1256efdb3e7c170db24f954ac53b1f98656278873170cd466d07,1
b5d630f3075d629349a6e18ce4bdfb33a48a8865456372ddbc5fc676405d7567,0
a20aefff6f6fb236042848ef92b13441add2c73ca2d51a56041a5a041166f1e3,1
c65e0e75dc9bd4053851c0780d07f0319aae592800f6595dd04e58d9a6bf431d,0
79a909141495e0de52e9ccd7d54ce36354f1623c5f69943ed915b2819de001f8,1
e9ff1e90bc939411c0652c112da87349342a934b671d9f0321ecd26b6bddaf2d,0
2e251133d3236d31b0156e99a766fdc2372d54cfd2d730b705c2fb8cf9dfb081,1
8d2164fa4762f61fa0ae412269a91c8c959ebf617a92070e7bc5805404361b22,0
c773b8d9b2707bdea1cc6814a11656dec14545c3fdc832eb7d9d8f6a546b29bf,1
0661326bbfa14e64ec57a85eead6fe40c6b6d96e76b9dd51f46d91fdd763b6a5,0
b9365a4db5008a65e83b75941cf35e3b2fecdaa687bd03790e356690efd9da3a,1
108ff6b93e6d27061246d27d0b35e83bfd14dd954e9aadb968d32118b5cecbe1,0
52b192c85a3517d59afb4eb6532018536c0c939c4b27c84807b73c9c76c58142,1
788318d7784a4cab7bc35aacb547a8e7e742170118aab56ea72c8412dc5f2c1f,0
d57c83de82273438e01c45c1a645ca32eaaeb6de8fe5181f00bb6c1e5c2871a1,1
a40fad1a7306261c717e220e53f6631715c24c96cc33cb1996ce4cd37870feb0,0
573f0876a99bff404b1de306dab1fc243be648e86bdb3a26208ecbd66b10d3c7,1
0f5dd3386f77c187e0a1ebfd53f4a46cd4069047d9741ae240fe2c1fe6d758ba,0
72410a773b84ea95d162d4833f5f90320dd1eb7082152651cdb1514f67d4bddb,1
2fa8701f68450931c3b4db1d2f72fc226311f1fada787a79ded672fed0804b86,1
d42300b3af0c5bb61524542c6757ad6c2c2e9444ae4aab8d2f18b373c87afcaf,0
80c55374d34dd1e84ddf65e35e5ccd4c99b67a726d87782e5f9b6bb9471ea8a5,2
7935e0ca4cec7063d250b4621aa6c315b80b716dc4c3d78931cd8737d09c8e25,0
bcf018ea5534f8e82ab3082f6c431486764f95bf55d3e184f8ab6209e3b1dc06,1
24cc5544409e5b51c586aecfbd3a8ffb90a5fa2865ebe1237bb66080c65682eb,0
45c074217853e68a4915b1ac0d5223d12febbdc4b015a811b0d83312e4dc9db7,1
e28801067199a51135879dde419b94cc4fb3c99530ee550e55414ef3c973e91b,1
ff78b70a05f4b04489dc76651eacc1b6919aa5433d11ef22c5e4448d2bf27200,1
f83503434a09f234cd6c4248a22698dd73387c0d343bf6fa40a473d5247cee79,0
ee97f969d587ec9d956341da1642f2e6ba1a6f6b8e90fb0ce5fce7931da745ff,1
410a820c4fc4015d088d96c38a54824b54d3aa578a17c941afba76a0ed980687,1
408ac8738f9c388c3e57bfc39f3b8a1610e791bae99b1d0a33cb14998ede7051,0
64955f049a1b83883739f9203ddc0996ca47474f043cda467524980078c6ea63,1
728e68a5526a82f6a91f078b88ace1a3cb3af5ec3c1f217f8748c7a2db0ee3a0,0
29cd51a9a027fb0588b7bf8c83c49942e61734fc03f3400618e1c0ea97a8d5be,1
573a33aaaca25e07882dc6b695c9f3687d57c3c40d7c03032c38d328ec882d7e,1
1a272862af34adf1fbd41721b5cdfdf28f375b30eb9b362bc12d27a4cee8c362,0
4d8774c24aeeca12d499de751672ce89d4fb6ecb8ab8afa9fb6b58d6dff9c995,1
4a4fc7f449faf94174ea1c90224ced5ff0d7e3450ea7189220f9f8d8e1bf183d,0
26a83a38a14a57797f17a7820047c0fb4db3b7d2421b1cef8b0af0f75c452a62,1
b9e20453a64dd69f5d74f700670d16dcdc763b7a46f1d3899167f429197aa651,0
2040bc10a34b7e48544e4c9eb3198f60842b0c7e6fe22c517422050a87c6eed6,1
8e2ba94a288fe5a1fcc4ada5a8bc5707ba7937d9306a9913337965c403f59208,0
4b394acbede228c6af300e9eb589759fdf8062cfe81cc743d16ae421964dad0e,1
f971d6f728307e01219839d3a83933a17b8d4d4f19bc232e09caadfb77f098b1,0
db2d0d5a34a37107ec848b5d95277b0aa0d1877bd86ee44763dff35e6a873523,1
6c8d7f93e21c3e8ee07794ff7aea030cd460cd3c37a9d50ae53949681641d5e9,0
b861cd9e77f5815a3571ac384849ae4899f305171cc17d09ef4e0fe6290b4233,1
