node,in_degree
a67858826f0a1fc1107e692336d30ede6e6e2a7e6b61fe5e49a17fee601714f9,60
428ba97b30481ccc42c02c775afd51fd83690f32c3c90ba2cf52b0e94d34daec,257
b6099da8e3fb2058818eff61428fa2d3b806c08e61dc292c2dd37fffe72689b2,2
e4dbceb5ea88246ffdd2bb0abd766c3eff22d00e73c1b7e7501610f1e74aea4c,3
470fc4d2d7a8a05c0c7458f26762faf38c5584422ca4bedf03ad08527ff8d668,15
ed3e21c6481f73d6c65c39aef745180b71f4f5428a77d5a8d46d594c10fab68d,3
b758068d17c36b613883638dca266a2c57a3af68f55e8772aa237a6cc828cae6,2
7ff27c04454213fdd5e851ccde5d96461b29f9e1b53c34becbe628312a696ca3,3
134df58785de24a41d0dcfd3faf5e29e2ce6328d5f665e7257ab65f1dc3a09bf,297
b0cbb018f44e00fe28e0763343c20d036d4841061f719f300a7be167a60202c7,38
d6af28d0cd41e203d31d2ea0f695f8860b596158488c9fd1c48162888e7feed4,2
8d42985adbf733a4f3988937c2711995bd1b3cf32e592117e75af5a246de64f7,11
3e84a492010629bf59070db04edeb8bd8f53f388d328f026f66297a753f88b29,2
3abe3710b2f9179ae090bbe85ec863c0f5a940cd289f7bc453cbd066e89b46ee,48
c94557c7f793eb5089ad2c84400263605adc11c8f8f6fba21035cb68c699447e,5
343e9bea203a942eab0cc6400224e6c1d0831fb39a09694987ededaf339287de,3
1b388f8abfeaa84aca81ff8161c3e1b78c81299b05f47597b3a527c77a14a4c9,18
6979c166e9ffca58324fcface1212ff65bcf99479b48551c2bcc05e3852182c9,2
15aea882cf04bcc35077ae54266fa93aab6f9cf523334cc478e436afd29d3a70,2
ad3b42d00ead08ae5943b1cf403aedaeaa5b962d87a59b94c2f2271d66c48e9d,7
02ceb837f43e4d94c95c491bc2c38e7304b3d2761b97d4872bb744233b4013e7,9
80c55374d34dd1e84ddf65e35e5ccd4c99b67a726d87782e5f9b6bb9471ea8a5,2
820f6e689b5f976dfe14fa9e1f8f4c31c6d10112d332092c13248a2afffb01f1,13
6efc3975d93f8e6237e6790bee42cbd43f5847e3204049e1fba7a31b009610b6,2
