source,target,counts
bded2da4e5a470bb7ac4bdd62a925839db21a554159596d59a58104ceffdc500,a67858826f0a1fc1107e692336d30ede6e6e2a7e6b61fe5e49a17fee601714f9,2
3d4665d038ceed6649e59e863cc038721ec29d47ae3386f714241ec46b088175,428ba97b30481ccc42c02c775afd51fd83690f32c3c90ba2cf52b0e94d34daec,2
0262b278c3fe42f7435f7cafda46241b87a65524369e82449ba205cd13e9c7b3,a67858826f0a1fc1107e692336d30ede6e6e2a7e6b61fe5e49a17fee601714f9,2
2cc641f509f2fcdd4e3c4e6511d331071b0645bc925180b1d3a21da4cdf10218,d74709bdcbdc6996c776a0dea744de1bd273577f2ce3638764a5ac2f1c81e486,2
986c53fc7b7b58706f442f9e401a74bb34da4e0c5da3488f55585399a0a63df1,134df58785de24a41d0dcfd3faf5e29e2ce6328d5f665e7257ab65f1dc3a09bf,3
986c53fc7b7b58706f442f9e401a74bb34da4e0c5da3488f55585399a0a63df1,a67858826f0a1fc1107e692336d30ede6e6e2a7e6b61fe5e49a17fee601714f9,2
36f33567566b40e3735ab205784919ac5d99cbe64694222ba4f5690735a8c2ff,026ed98cdcdd973c7348c2ec9c7d3abd77c735fe800c2ffae97e143226cad2c1,2
4f99094eba592530f2e9075bb87cb2e8ca92bed6b7f6acc603070d70c3d560e7,134df58785de24a41d0dcfd3faf5e29e2ce6328d5f665e7257ab65f1dc3a09bf,2
f18ca29d37a8158c52ea6ebc5087e0aba1ee25bef70a9a637793bd131407aaf2,134df58785de24a41d0dcfd3faf5e29e2ce6328d5f665e7257ab65f1dc3a09bf,2
f18ca29d37a8158c52ea6ebc5087e0aba1ee25bef70a9a637793bd131407aaf2,a67858826f0a1fc1107e692336d30ede6e6e2a7e6b61fe5e49a17fee601714f9,2
f18ca29d37a8158c52ea6ebc5087e0aba1ee25bef70a9a637793bd131407aaf2,428ba97b30481ccc42c02c775afd51fd83690f32c3c90ba2cf52b0e94d34daec,2
3d52acb5f5430253bd2111244b12bbdb27de2ecfc5a0f15262e108493049854c,134df58785de24a41d0dcfd3faf5e29e2ce6328d5f665e7257ab65f1dc3a09bf,2
7405ccc163792e5f883d1f5be80b3e54a588e79703a8b9c7b839e4e677a91a3e,134df58785de24a41d0dcfd3faf5e29e2ce6328d5f665e7257ab65f1dc3a09bf,2
7405ccc163792e5f883d1f5be80b3e54a588e79703a8b9c7b839e4e677a91a3e,428ba97b30481ccc42c02c775afd51fd83690f32c3c90ba2cf52b0e94d34daec,2
573a33aaaca25e07882dc6b695c9f3687d57c3c40d7c03032c38d328ec882d7e,ce9f513b378f190fcdc37d0ca4d1bf6eae78310f77091065cbe7f7b4855efdc3,2
580dcd30dfb74ccf95b38abfeb75f53469c4e294062676b8b19beb818adb9416,bfd31ccaa67936d7eaa569be61f39d8e419e99852e11121aa3a51482999119b1,2
93512fb32f60771b2c9862fec9922e8d828ff70df400c290ec647a95544976c9,134df58785de24a41d0dcfd3faf5e29e2ce6328d5f665e7257ab65f1dc3a09bf,3
b96d5abe8d6d91015949eec71e43d9ae2a9a5c16cdf035ac5a81e4a6d15d453a,2d8b50c08819197201068cb999b1e91b7daffaba48fe8fb4b2d736b3a227762d,2
0a0d6a60c449ad488a99c72b156967577836fc40b53354f6da6c62d1cd15924d,f73106523fe47615c539887e5cb0ed25a171df2c07e83bf884a1bf3eacc22065,3
3ee55ae6ca01f7787a656a323a80b1b8e4006a12b06329867552763ce6a9718d,134df58785de24a41d0dcfd3faf5e29e2ce6328d5f665e7257ab65f1dc3a09bf,8
3ee55ae6ca01f7787a656a323a80b1b8e4006a12b06329867552763ce6a9718d,428ba97b30481ccc42c02c775afd51fd83690f32c3c90ba2cf52b0e94d34daec,4
3ee55ae6ca01f7787a656a323a80b1b8e4006a12b06329867552763ce6a9718d,8d42985adbf733a4f3988937c2711995bd1b3cf32e592117e75af5a246de64f7,2
6a84f66a111434515604c18768bbac2dc29be09a28552731a995566e7856f8c8,428ba97b30481ccc42c02c775afd51fd83690f32c3c90ba2cf52b0e94d34daec,3
6a84f66a111434515604c18768bbac2dc29be09a28552731a995566e7856f8c8,134df58785de24a41d0dcfd3faf5e29e2ce6328d5f665e7257ab65f1dc3a09bf,4
b5719dd16ed7d530450aeb419ec89c57c3078542b62e4f4ff42e01327c7a5adc,81f22d8ed65845c2c17e7d21152e972b4d35aa298da274a97b571f5109b6029b,2
5a51097640f647dfa24ad3520910f5212447aa1188e16eb4d192667e8d33ffb5,c9499af18e40b2ef7c7ab7b62208761c90470ebe9f819b3891cfd4313211d77e,2
5a51097640f647dfa24ad3520910f5212447aa1188e16eb4d192667e8d33ffb5,8d42985adbf733a4f3988937c2711995bd1b3cf32e592117e75af5a246de64f7,2
3b7dc6668eb14053a02810d62eb1fe006016dbe87e1d2aa10aa5fabbb2973e3a,12ab0ef021bec642574a3452f4f37fdd490c4da25775e2a8bc3fc115d203776f,2
17aaa9994f5f14b975e2245cd536552fa646727f8882b99fc49b4c1155b09c1e,8218cac106af27aa4bd625024fb6ef447dec5711e2ad91059eed21492b188e54,2
f8e1e867beb3e0a79e8e29af63ecb0eb53612644289c90abf3c33ad882e59167,d2b07ca9873c82ee436d83edcdaa2f5fa80eb47a61fca40dc47e401cf99c41a5,2
