transaction_hash,spending_transaction_hash,value_spent
4148ce4f8248cd00ce486711b7710012e743c7897199e6212ccd592992d1932b,c007cd9d9276375cca92cc0c65e9e08e2eb248dfe5496c42d161459943ec4cd1,51116889474.0
a7b5d8459c9c382998624e6340adcdb1a2062181cb7d0c0213076f0ebdc08ca5,0a92880c989c1ffeb70101b1afe6e4d72352c15a4677b095da7411cf90e034c5,51116889474.0
d82aea27103d40a008e4e9d8c6e588acb1e849d09e49c3f8f73bdf7b58eca850,9ef8816cc22196979ced1c54fa578532f32dc0fa412cb52c364e095e8768a088,51088011436.0
fa660c18ec5423e6074aaeb88da2be7945afeb8c66383e9bc7abc0b9b7f443b3,0dedc4f4d5ecca4948d610af4d7da9ddccd2342dabae644ad9b8120b0db2f9c5,28800000000.0
a9a4d127be0e2d306d527b323ca8594ea860a5d9fcbf7c805c6dc083754cb867,43da97239706cd342d6bf23b5a95d3cc7986a836dec3aaca9e3eddd0a70467c0,20000000000.0
241a4b790dbe998c59abf8aa50e4d093fab18ff2a684a393209d542769dc63b2,0dedc4f4d5ecca4948d610af4d7da9ddccd2342dabae644ad9b8120b0db2f9c5,11552117383.0
f2cfc0c2e85996bb6e223ef23d52b8a679614138c05c785207e472f0975f1a22,9100d5f8336016d46713f315c247cb01f515ab8f536229798ff4d91f403cb43d,8517701319.0
9100d5f8336016d46713f315c247cb01f515ab8f536229798ff4d91f403cb43d,8350559498539709937438351c63ef28d5d56c3ce1573f0af6afa0f375782cf9,8517665503.0
8350559498539709937438351c63ef28d5d56c3ce1573f0af6afa0f375782cf9,353279fb309fd14c9b6c6bb18419f700ecbaeac9a746c898e8f27f24faf2af56,8516923226.0
353279fb309fd14c9b6c6bb18419f700ecbaeac9a746c898e8f27f24faf2af56,3c9326a37b3784fa54fff1a4913ed1c2b4ee9c96aa4c771e10489843e4e2814b,8516906315.0
3c9326a37b3784fa54fff1a4913ed1c2b4ee9c96aa4c771e10489843e4e2814b,fcb3cab60b1ced0064a91717b75c64cf2fdd3dfec544bfa299c6f29f7c9c6703,8516251907.0
fcb3cab60b1ced0064a91717b75c64cf2fdd3dfec544bfa299c6f29f7c9c6703,eab3e3c529a79b6c2a672b0c35a60233abf2c0fdce296cc902d2f9aa2ecd248d,8516212073.0
eab3e3c529a79b6c2a672b0c35a60233abf2c0fdce296cc902d2f9aa2ecd248d,adef56c144fff0554833836178a72caf956b19c14215a2cb0195effaee7668f4,8515054962.0
adef56c144fff0554833836178a72caf956b19c14215a2cb0195effaee7668f4,36f62b230c6e914735162ed3b4039c6f6f5236505f3ab91cadd425171edea645,8514947089.0
f840ba6ac2b7c407185e6c552f6900585e303b892bc6d60d227efa02eb94d9f7,64d4040de908f7074ca8e993d6aa6a6f2fb7494219e747c323fbe0ec8895ac32,8511252437.0
36f62b230c6e914735162ed3b4039c6f6f5236505f3ab91cadd425171edea645,f840ba6ac2b7c407185e6c552f6900585e303b892bc6d60d227efa02eb94d9f7,8509376041.0
cff6bd48498ecff005b943b9eec7ab50a874c41e1cf958d6be2aa1b9dc73c8c7,f2cfc0c2e85996bb6e223ef23d52b8a679614138c05c785207e472f0975f1a22,8501097876.0
34277e944bf549f639ba2e9ef46f735c397d074e6951646dd688a4058a0c6237,9f6963848dee4ee4044945bd814ba4240bebe72b07e57b30e05aede52600f464,7391030365.0
ffcecc8e2bc97ee054f8cb741ca334132c601359a8ff427b30f7ee6453262eb5,9716ff3cf825cdf1107bd35f0e1644a71cd01d55ee2b2b78168180b71d4cb2b9,7165314849.0
9716ff3cf825cdf1107bd35f0e1644a71cd01d55ee2b2b78168180b71d4cb2b9,5e9f27c018099ade538f8afe9f3f37e00ce40c9248f1384baebef20a4f182dec,7157898462.0
5e9f27c018099ade538f8afe9f3f37e00ce40c9248f1384baebef20a4f182dec,0b846b293a6accc9cc3bdcc3a7c30a057759c052632a26e41f2d8c500760276e,7149962962.0
83c6ea7fc632b5371fed386effebf2731bafd286a2101cbc98c6c123e3c1fc94,794aa2fc7e675e7d79500eadfe28216f0a0829335b8bc705f3b8fe0c3a48c80a,5018551995.0
9ceb4ba28c74d11108ae31394e6f54abd6b2b39a2656f4685d3efef0a0597b48,bd0d1cc6f353eacb760a6342546496b10c2a5a8916f54a0f268c619b6bba1b61,4595496838.0
bd0d1cc6f353eacb760a6342546496b10c2a5a8916f54a0f268c619b6bba1b61,214605670edb7b9876f3a1bf5d38d08093c1fb3298836d931dc4e813c77d512d,4592965509.0
516c32b88922de68bf6c2e2c2e4fc55a5298087a4448537851a7819cd8c60e5f,ae2104b74a2bcdbd30c9f8888b0007a269ca36b471ee80c172e25fa3cfb05e6b,4240000000.0
