node,out_degree
1ccca40a5a368c540dc4c2c793cde69f571b6cf1f4e0464d6705b466b42fdaa1,3
7ff27c04454213fdd5e851ccde5d96461b29f9e1b53c34becbe628312a696ca3,3
b116ffe9203b6541ff8c558d8203edfebcfe11f9449a6e0bbfaab62c93b1b08e,2
b623ff03b67bd1b90f3e36bc5ab8635c36ca03af45394ed0fb39d14c44537f92,3
c702a5bc385e721f13615a97d8bff1ea2c1e522a2752d01aeb8c098302da6d23,2
ad597c5fe2aac1d8c512104ccb5b2edef5446d6a671a33707a1fe8a31f48d3f2,2
c9b1673dd45eede98e307e72b99fb85687118a18d39be3f2604bd07f40cbd9d2,2
64fcdad635b657e9a5912bb46577f76e37bb5e51909e03099e4bccee0179e434,2
55a654e1d4b3c34370c03d65ce4eab07c09dd03099219b1fa4d49264a3c5b9fd,3
a7ffd6e333e6e1d08a5b705e0d81613707bfeefaac0ab4bafd455f6735271b65,2
e61d99e52816163eff65ee423b6953d3de3ed32873afbd9a29e7de0e0522a99f,2
4ba33c0a70a3d092d92fab05c3611356e921240e888be9a38d646d850a5bda21,2
a3ee9de9bcb554ea519965226d79b0186ec92352baebc1794092d44a5f21adce,3
f7061aba9c705a547ef4c83c8cb93f1b5dbbb8e8abfe73f267d96ec54f8a5bab,2
50875c101ce67a5ede9eadb0af45c0fc800f4b36129a0022771226f06a9b763c,2
1706fa3c6a6a49a00c3378d7a655cb30f7953c09c4b94b96be1e4f8116959f44,7
516c32b88922de68bf6c2e2c2e4fc55a5298087a4448537851a7819cd8c60e5f,2
8d2164fa4762f61fa0ae412269a91c8c959ebf617a92070e7bc5805404361b22,2
788318d7784a4cab7bc35aacb547a8e7e742170118aab56ea72c8412dc5f2c1f,2
bded2da4e5a470bb7ac4bdd62a925839db21a554159596d59a58104ceffdc500,2
9ca698d33e8e4a2deae287965e095a0a331c67bb9d0804a78a5fe939d271af40,2
9ff3c0e1c220a6346831226ef3dc97049c960293fdc0dda3e3b8362d93e7afc9,2
eecb98cd98672c6510e0480eef9410c0558f5655ec3b2f8f570733ad68791750,2
0f5dd3386f77c187e0a1ebfd53f4a46cd4069047d9741ae240fe2c1fe6d758ba,2
72410a773b84ea95d162d4833f5f90320dd1eb7082152651cdb1514f67d4bddb,2
2fa8701f68450931c3b4db1d2f72fc226311f1fada787a79ded672fed0804b86,4
b7b6bc177ee4478c4f461d166ed50afd2201f0a9c79bf47bfa55a8514b70d2dd,2
069cbe54588b10b9079ef1981c9aab04e3f7adf1897a409a2a74c678ca62fde9,2
ad3b42d00ead08ae5943b1cf403aedaeaa5b962d87a59b94c2f2271d66c48e9d,2
bcf018ea5534f8e82ab3082f6c431486764f95bf55d3e184f8ab6209e3b1dc06,2
a2b19eaef22e3a3c65ffbf0763a4661538b37ece9a236cce7fb8c63dbaa48711,6
41360ec52e213196b90876d3c0e93415431df6c26f932cbbaa9772b51e3d4d59,7
3d4665d038ceed6649e59e863cc038721ec29d47ae3386f714241ec46b088175,7
0262b278c3fe42f7435f7cafda46241b87a65524369e82449ba205cd13e9c7b3,10
2cc641f509f2fcdd4e3c4e6511d331071b0645bc925180b1d3a21da4cdf10218,7
24cc5544409e5b51c586aecfbd3a8ffb90a5fa2865ebe1237bb66080c65682eb,11
e28801067199a51135879dde419b94cc4fb3c99530ee550e55414ef3c973e91b,2
0e9e9b1467b5724291c87a7c3839acfca05ecbdd429b73b0dde8ad7e224428c7,2
9dac63d1efd00349b2ae097ffab81733c21cd95f9b25d7e07bfdf2d685610a2f,2
986c53fc7b7b58706f442f9e401a74bb34da4e0c5da3488f55585399a0a63df1,14
36f33567566b40e3735ab205784919ac5d99cbe64694222ba4f5690735a8c2ff,2
4f99094eba592530f2e9075bb87cb2e8ca92bed6b7f6acc603070d70c3d560e7,5
f18ca29d37a8158c52ea6ebc5087e0aba1ee25bef70a9a637793bd131407aaf2,12
3d52acb5f5430253bd2111244b12bbdb27de2ecfc5a0f15262e108493049854c,7
c2702f56952fcf1929fb4fc82f976b315f2e271ed61692ffadfec050ea71696b,3
7405ccc163792e5f883d1f5be80b3e54a588e79703a8b9c7b839e4e677a91a3e,5
f83503434a09f234cd6c4248a22698dd73387c0d343bf6fa40a473d5247cee79,2
ee97f969d587ec9d956341da1642f2e6ba1a6f6b8e90fb0ce5fce7931da745ff,4
410a820c4fc4015d088d96c38a54824b54d3aa578a17c941afba76a0ed980687,4
3b7f4a63ddfb9418b125b16c3e4a7e173ba935db64e8717d9543c38d8310dd3d,3
b3d50ec0e508cd5ae2835538ae1a272b4bca0fc7b08c6696750c4af823d57d11,2
f0b819192ff20a891d1b933f44c73b5e7613bed8b9989784e0354108cc8c84a7,2
4a13d37358990ef7618db8a16ceac368f76f7012d03bc8ccc501b62903d1dd5f,2
6e40771235fd34cceb6d824ee8d1d14f26830c5c7ea4c9378d95b27d66ec2266,2
4173e0365356e5362eb0dea6280b223094e9880f77e9e69101967b8d346d26ff,2
728e68a5526a82f6a91f078b88ace1a3cb3af5ec3c1f217f8748c7a2db0ee3a0,2
487ef2c2a974a9617d8185d71fcf09097f2d2f9667723cce9c357de54ca8e89e,2
573a33aaaca25e07882dc6b695c9f3687d57c3c40d7c03032c38d328ec882d7e,2
1a272862af34adf1fbd41721b5cdfdf28f375b30eb9b362bc12d27a4cee8c362,2
6281ab3f825978c4206bfb8de52b161b05758e673b69d19d07f8f1f5167ef7ab,2
4a4fc7f449faf94174ea1c90224ced5ff0d7e3450ea7189220f9f8d8e1bf183d,2
26a83a38a14a57797f17a7820047c0fb4db3b7d2421b1cef8b0af0f75c452a62,2
79baeffb4a926ee8138a66bafb2e381cc79d06f075136b2dc60bc715353b930c,2
a63279a619fde56a336ef022635e364ab995848cf15eebf585d7ad6a3b6ef56a,2
25b0d039a45d2f29fa78edb6803f36f8a4483bd6da3c01e91bc51328f77833a5,2
8d2f49a277acb5bcdd7e2b5b3a81e5c6968df79d9fdbe50bb7716a82f0aa6b6d,2
580dcd30dfb74ccf95b38abfeb75f53469c4e294062676b8b19beb818adb9416,2
f971d6f728307e01219839d3a83933a17b8d4d4f19bc232e09caadfb77f098b1,2
6c8d7f93e21c3e8ee07794ff7aea030cd460cd3c37a9d50ae53949681641d5e9,2
8c2a53edba7a1432a0c55adaf62393ea754f8fc267e98b8055f89109e8f3cf30,3
b1bac4596a42ca20a95bf1dc30d2c1d80bdfe30389340d42d1b88f4a8ca6d88a,2
775b35caceba66b5645cf997900d25e24f5608eaa32506507ff81bc841734267,5
f99bb6d9a0875a40d79fe2543c712038cff9f7bd85efe56d973674377b5ad332,2
93512fb32f60771b2c9862fec9922e8d828ff70df400c290ec647a95544976c9,37
b96d5abe8d6d91015949eec71e43d9ae2a9a5c16cdf035ac5a81e4a6d15d453a,2
0a0d6a60c449ad488a99c72b156967577836fc40b53354f6da6c62d1cd15924d,52
3ee55ae6ca01f7787a656a323a80b1b8e4006a12b06329867552763ce6a9718d,51
0cf5d4b7d68684a06a5145c3435b88d382cdccccf375c1cfc6b585b492479d3c,2
6a84f66a111434515604c18768bbac2dc29be09a28552731a995566e7856f8c8,28
dbb2b2da763e273606164df0b73573329bfb9193de44b723c606ef2ffe5b8aa6,2
16d03b64b749c2f66ed74b619f4d8f4dcf69a441b4fcad2f068848ff823f1946,6
a7f4bf33598c112933f3c83df1c2d81fc596245b7e436c08e001c5d12a14c2d2,2
344bfdc777ea558a1ae5e2ac69c53b681560e2960150aa69860b6826b2ba62b9,2
fc97793259291b49f7430ad972189b8fd83272fdc87ecb5c19aedb415c1bf5ab,2
f032f8c44ba7da7fe9dd2989e960fea357de0745ca9775e91c17eea496b0c62e,2
7521341b623a3c422f1c45b82d0e9715e9f5fe8cb67061892a91633bce853e12,2
bd6fa4162397beedf3084e32314bf135424278dd53c52a6dc3fdfda570797e07,2
cf446bddc88d001b8e0d167ce9ed1e2de5bf2818ab6adc72843930cc5ed4dd12,2
91d1098802e19a056872dce1e8889202f7c5d3a85091f66c408a6d862a730f20,2
8619f5cadc83e23272da75dc31beee0343920238e5c6879527110204da436733,7
b5719dd16ed7d530450aeb419ec89c57c3078542b62e4f4ff42e01327c7a5adc,2
5a60072255d3a62bd48cf4a0db66393fa11bbb69026b4c09ae74ee17d5a56660,2
83c6ea7fc632b5371fed386effebf2731bafd286a2101cbc98c6c123e3c1fc94,7
ba99af1badc64513aa1dad79e526c6901fc637ed97e7473a1242328883977fb3,2
a172e0be181b8f385ee6960de2e0fa9588cd55cb415020978595277c65e2f7e7,2
