node,in_degree
c42bd5bb6c19218286f43589739190e541a6f850b146cb58b495b5e8434093de,15
c4ac34f910d3142aa3226c89b0a0be5df978867d8b2d7d5c4bb4dcff8d58d0c9,4
59998e821da544deccc96ea7d38db8c90685130a6e5b67d3f37cd2b1b415ed37,3
70c7206d17d101a0c1a9991ab3a4b99a6380c5acea249d3632a1d2ca5257e09b,726
df3e226cc2e6a641e87b12a409bb27b8f8b2468c05c49b57f1c935c2716b76e1,2
2e16509400cc00732600d93fc4fa943880d1bec5c9ae5aec354f6a1f9db981c7,434
a67858826f0a1fc1107e692336d30ede6e6e2a7e6b61fe5e49a17fee601714f9,60
6733d50f0d100ad21687a9291611f7774a81f643d64721da2e32e6d1214682ae,55
cb2c0bbe554d69f556b0fe26d29cfb823ca948933916662c21bcfa8d025a660e,18
0e1ced3ef8a826668733bf28ce7a60253e221db91b16c4e9406c5dffaf4f2ed9,206
245806c5939d66eedf4fa94b498f6aaa1415a1cb04d22027b9a5176603ee7fdb,9
b81f0369162f6e52e896ce32635dd23d129023e0600e0839ff792c3eb7c14f1e,7
0a902944d23e46a15c88e46e9ad70ddc0f34dd027738d7394e9ca427ad856386,4
468a51c9e215d15d7730ace67af44e21eb4796f982611e24628d8c49dfd893e0,512
73b4be7827dfbf120e5554eb994392e7712a7435a3dd059df5acf17276d0c8de,442
5474c47bfce0a56550ce987ee2ad975024cd0ed81cc921200e91236134147f1c,292
50b9cf368341174fa3795cd3e712a336e626750dda5aa391775e9585e0645a6b,5
bb2795cf6e7ba127e7fdd12efd95dc503bbc258d810cacba06089ebd958d9d6d,102
428ba97b30481ccc42c02c775afd51fd83690f32c3c90ba2cf52b0e94d34daec,257
b6099da8e3fb2058818eff61428fa2d3b806c08e61dc292c2dd37fffe72689b2,2
b5f020d7831d40ade975186c534670ed975c2acd93ad2aec42e9486c792be29a,99
1da226c3f16840f78b9f2ad745a42a818fac7ceb53335566cf9b075594e34789,108
e476f0ade8b117b156ee431840384d21d8bea821cb5268fb8b48f3d5be27db5a,9
e4dbceb5ea88246ffdd2bb0abd766c3eff22d00e73c1b7e7501610f1e74aea4c,3
5776bb8f88de9478b022117aee0b5cd8bc64afdb78d614ad2f5e35dd6599ee33,55
470fc4d2d7a8a05c0c7458f26762faf38c5584422ca4bedf03ad08527ff8d668,15
c52e292a96655200d89b4b0f71207eba11a9914e14ecf025f93c8da9e885d9e0,3
fc93e8c5cdf1db6abcfb0550750a462331f84ff60c928770494bbdbbb520c90c,6
c86881b9da8a1424dffb1345691cdb955fce8badbad882abab49c8a05f33d4f3,132
5007fdcce99176573601bef668073f08f6fb68daecf50972d00ba1a298ebfb4a,241
ed3e21c6481f73d6c65c39aef745180b71f4f5428a77d5a8d46d594c10fab68d,3
b758068d17c36b613883638dca266a2c57a3af68f55e8772aa237a6cc828cae6,2
7ff27c04454213fdd5e851ccde5d96461b29f9e1b53c34becbe628312a696ca3,3
c33576cf75cec2e190d3a0026e65a508404ad279d6f6e5b9fcd46d82128a09ff,191
e867b3342ccdbf0b60a408cd1aa4d19f002ac1772b19d5ab69c3a45cd3f6c099,1221
134df58785de24a41d0dcfd3faf5e29e2ce6328d5f665e7257ab65f1dc3a09bf,297
091195996a9ce287b4b4cb65072bd5a44c0614cc62a0a419cdfa282e2bfcb620,27
675741ce86e3bb73e3b29628c3ee93d1973381c00ed88e1aaaeb4c1cb0bcf3dd,84
22eb784ac46681adc5c8521aabd28dbc7c420dda617a84ca7d2539ddbecf43d3,25
71515fd867414f52c8c54b29d7961bcfee535c93f752c1a9ae596d194d979181,90
888b419aaf30795723f16a454a526ec1a4d858cc938ace5c2b1334e7f4e33674,546
2507d8407e6a06bdfdbc45c9e03d8ac4e05e4c2177a3761248a7d03475640fde,3
c58f38583f7d6d6d301b21909c9591d070e44acb09296dbc17c69dae24ce95e9,6
dd8aade2701c46e2fa53183f6b611f76e8476d2c0d0a75de905c3f7b4e5320c9,3
2171dda0113068e933db4dc697cdc71cf3f9cefdfa91d9d142aaf57cf03bd49a,87
2a1a8b9eb79a99c7e9ae3dd7b7fd1982b7a92618fe0f4a4f4c3bdac2c98678ac,54
84f5d75be379d02f61cfbb68c64dd6e8ec7c9c1dc39d248b166e5cfd23acf9b2,43
2d57bac1bf8d1d304defe5e8b0432a70cf14a317777e9f2957f8fbab0cacf4cc,145
ead7a494c985370979057da5e815d4aacef43302c01905d195d893d3e80a82bb,208
1d192722ca7bf08c3c0b46ad9b2b33228d338c62f6a45d7be7782b962a1c40b7,366
11c35c7d911be8d8e9ebe85831eb0c3e83910d9636c1b7ba3bf9e53643d01500,114
ded85829a6d6b51ea44db75b6188908778d2c76ab62f04f777f263b8c12790ab,211
c01427e50ec973315cc89b1a4e5393632ffa5509733ac6bb1b627ebd97a37ad9,326
3df9387227807dd1b92d25f84012beaf727794946a8c76fc4e684403948a30fc,5
112d12202f99acf0490708ac726aceb10751105a8c5b284114c0ef79cc4790f5,2
b0cbb018f44e00fe28e0763343c20d036d4841061f719f300a7be167a60202c7,38
b2a020baa6b1392ca54c680b7294bdd52e10388030d4d6c23c3726c48dde59b2,3
1024d75e4c651bdb8803e3192b65b84cfa6b61adac5ec81db3c5a8f623ed8226,3
d6af28d0cd41e203d31d2ea0f695f8860b596158488c9fd1c48162888e7feed4,2
53b3394785fbb92ff4b192680d82d46d2012767ef42deb8eabbb69364f718134,4
06f3440b0a4a9e364669f6d4bb2caafb380529dd6bf1e6e2cd420b480a5da600,65
dca87f662bc8a6dfe8354a4ac838dcaf1a0e3640bf8634e9a538cf8a19538d99,6
8d42985adbf733a4f3988937c2711995bd1b3cf32e592117e75af5a246de64f7,11
3e84a492010629bf59070db04edeb8bd8f53f388d328f026f66297a753f88b29,2
906a3948b9ff40fd68b813d8fccff72dd87bb515cb3e8e647cb0cacff2854473,2
1b57fa20d4ddffce32354a64c087f44a7d7fde3f26930e0934bffb1c7641bdfc,30
d89389dc0dfb2f64c58b26aa716fedc7e97f4a19e96189659168b7777be49525,4
6d3422357ae76e6275bd2134c59f95e3ae60a41d1a7a19483b7af387b3eb52cf,6
2152ec543223a62c1287bf2374bbe08977fcb196311878445a95fa181ff73f2b,6
f624e81e8844414dc577127adbd7976e2b134e513311217ff6c1b14f4df270a5,6
d8decc72ccf2ff75965534ce4877ee86955f38e647c0b862cec3e7c06fd66d07,16
7c907273ab818298275d1e0921d8d58fdf7258e4b0d51894400a63afb6180a1a,3
ae1f046cde848a406cb8f22c446ea9c2c17e69c5eba37699c88da8daa2360130,813
3b9bbabf39aa875a48ddb7fa7be5655fcb74eb7a8af114cc04a424b3f40e7cc9,530
bb54991abca2a95abf5dd4b517447aaf3603211db541768a429fab4039263b65,9
231c14145933dc09d6812b3375afb62c33de64f1c2a2187e4c4b6c1f4b4075cc,3
927b0d9aa19b8381b0af6a0033409773c6612e6d4c070e41be1971a492bfcf7d,165
3abe3710b2f9179ae090bbe85ec863c0f5a940cd289f7bc453cbd066e89b46ee,48
a098f8e4fcbe72474a62d78c373d9967f854add32d0fb92e1e621b149ad3c313,17
c94557c7f793eb5089ad2c84400263605adc11c8f8f6fba21035cb68c699447e,5
343e9bea203a942eab0cc6400224e6c1d0831fb39a09694987ededaf339287de,3
1b388f8abfeaa84aca81ff8161c3e1b78c81299b05f47597b3a527c77a14a4c9,18
2550d43502a6bafe54eeea92d9748ba4980cfa1c890f84af66c3b96dc431ea93,120
ace2bcf37d5ef41db3f0c7221ca53adadb51dba18445ac55dda06db452046d08,983
3ab8ecd65380fded394dbfffae7547aaa2e0ff982c7fafcaa565d1a87eab6786,165
b2b29e6406b2f2b98e439592e3273b894f3c8b7c00e416639f184f7ec725614c,2
463526162fe1acc1bb588ee75f911744515081dd783ed3ce977d2622ae8a6a1a,16
